userID,placeID,place_rating,hotelID,hotel_rating,restaurantID,restaurant_rating,eventID,event_rating
0,30,3.64151481107033,12,4.7185121154237315,4,2.0126887931845343,2,4.596537912213366
1,24,2.6906344995058666,15,4.937155529932739,9,1.162529383216273,12,4.745652989248024
2,21,1.284890175676595,7,2.155023299004834,14,4.166145855098136,4,1.5047884327147192
3,30,2.621750033576759,10,4.6232900645357695,5,4.85528044032181,14,2.4956008716344047
4,6,3.692969194619833,15,1.4239852912032172,2,3.678524201666684,7,3.174927439135144
5,34,2.1476667587375933,15,1.230061126952544,13,3.8026592378143986,17,4.025360437144672
6,18,2.5964304855463274,1,1.7665090349742858,11,2.980556678899361,18,1.0233980549414188
7,26,2.1382161922812446,16,2.3666826627409536,6,1.994826754201016,11,4.161284276112715
8,30,4.8325652348646635,3,1.058705618637712,14,4.698243626595726,9,3.787781208129975
9,30,1.8246605389319974,17,1.7478586724142144,15,3.079602056049031,17,4.691432168647145
10,34,4.751542106852085,1,1.0816464736098048,2,1.6395892583453975,1,1.459697929027599
11,27,2.9263287255647232,10,2.2795555385144946,2,4.440530034754067,16,2.4572338591984804
12,4,1.5487338082088695,12,2.987467743165713,13,4.073081402105796,16,2.864734653501342
13,38,2.7441173050756253,7,1.268508108556599,4,2.9577046520482217,4,2.9954876696993424
14,9,1.5009011210187908,19,3.066590726315262,17,3.498829294194936,10,1.428494023334951
15,21,2.458805613568971,15,2.925374248031237,8,3.6775179138096554,17,2.655761542348741
16,9,4.590443875813037,19,2.478247888366504,10,3.555236014542794,11,2.3346115768105875
17,28,2.4389129153881854,12,3.624269430938175,16,3.4452150864941475,13,4.143185157392864
18,18,2.783018518167309,2,2.4264012795354115,12,1.1775766648534192,10,3.8654202568442493
19,15,3.7623089727510686,1,2.608425752550223,4,1.9601258531974488,16,3.8023184186176495
20,19,3.73555289139743,12,3.2111070494861256,6,4.381181605530069,6,2.7445687328379034
21,26,4.431029027551346,6,1.2986371323561778,11,3.163460315790167,16,3.139455199666331
22,24,1.3701115077893622,5,4.060380132282235,7,1.1807481450699413,9,2.2485823448365614
23,22,2.67598683208394,2,2.6730849265008567,12,2.9504401504630313,7,2.041463678590301
24,32,2.6351042563227067,6,4.697966696491433,10,2.7802997806757888,10,2.269661054138886
25,12,3.3495653491077353,7,1.4855483792833168,17,2.0641012434089374,14,2.0609090273141915
26,13,2.812481135142764,16,1.0688562384859446,17,4.747662319750953,12,3.496164923917252
27,31,4.9852943512276955,16,3.0527870960855106,7,4.576989891983949,12,4.5521619346731
28,6,3.147902111749381,2,4.424460101861193,3,3.4312296874293824,6,2.1794015386593215
29,36,2.55446306109584,13,2.2849675735306247,3,3.7580801139146973,16,4.789050874630705
30,12,2.322489795090673,19,3.0120682273166395,11,2.59183866271143,5,4.849089810272716
31,9,1.5873229992317213,14,2.9373082403310633,11,1.3127122605619235,15,1.9403549682785592
32,15,1.0713316678101084,12,1.5108399094364406,4,3.3061802543093908,12,3.350218086346495
33,7,1.8611273833495439,2,2.2519546241191866,16,4.767271249128935,18,1.423348063184744
34,8,2.2635440041946278,18,3.214908254172922,11,3.3128743474974574,18,1.8867168907908716
35,12,3.9992066974070353,3,2.4479458815991646,7,1.4267289340687541,5,4.200497492884317
